Site,Wetland,Date,SiteWetland_Date,Order,Family,Genus,LowestTaxon,Quantity,Sex,Stage
TX,NDP,02June21,TXNDP_02Jun21,Coleoptera,Hydrophilidae,Tropisternus,Tropisternus.lateralis,4,NA,Adult
TX,NDP,02June21,TXNDP_02Jun21,Coleoptera,Hydrophilidae,Tropisternus,Tropisternus,5,NA,Larva
TX,NDP,02June21,TXNDP_02Jun21,Coleoptera,Hydrophilidae,Berosus,Berosus,4,NA,Larva
TX,NDP,02June21,TXNDP_02Jun21,Coleoptera,Dytiscidae,Laccophilus,Laccophilus.proximus,1,NA,Adult
TX,NDP,02June21,TXNDP_02Jun21,Coleoptera,Dytiscidae,Laccophilus,Laccophilus,1,NA,Larva
TX,NDP,02June21,TXNDP_02Jun21,Coleoptera,Dytiscidae,Thermonectus,Thermonectus.basillaris,2,NA,Adult
TX,NDP,02June21,TXNDP_02Jun21,Coleoptera,Dytiscidae,Thermonectus,Thermonectus,10,NA,Larva
TX,NDP,02June21,TXNDP_02Jun21,Diptera,Chaoboridae,Chaoborus,Chaoborus,7,NA,Larva
TX,NDP,02June21,TXNDP_02Jun21,Diptera,Culicidae,Aedes,Aedes,1,NA,Larva
TX,NDP,02June21,TXNDP_02Jun21,Diptera,Chironomidae,Chironominae,Chironominae,1,NA,Larva
TX,NDP,02June21,TXNDP_02Jun21,Trombidiformes,Trombidiformes,Trombidiformes,Trombidiformes,1,NA,Adult
TX,NDP,02June21,TXNDP_02Jun21,Hemiptera,Corixidae,Trichocorixa,Trichocorixa,1,NA,Adult
TX,NDP,02June21,TXNDP_02Jun21,Ephemeroptera,Baetidae,Callibaetis,Callibaetis.pictus,179,NA,Nymph
TX,NDP,02June21,TXNDP_02Jun21,Anostraca,Streptocephalidae,Streptocephalus,Streptocephalus.texanus,1,F,NA
TX,NDP,02June21,TXNDP_02Jun21,Notostraca,Triopsidae,Triops,Triops,10,M,NA
TX,NDP,02June21,TXNDP_02Jun21,Notostraca,Triopsidae,Triops,Triops,6,F,NA
TX,NDP,02June21,TXNDP_02Jun21,Spinicaudata,Limnadiidae,Eulimnadia,Eulimnadia,19,F,NA
TX,SP,06May21,TXSP_06May21,Spinicaudata,Limnadiidae,Eulimnadia,Eulimnadia,239,F,NA
TX,SP,06May21,TXSP_06May21,Spinicaudata,Limnadiidae,Eulimnadia,Eulimnadia,18,M,NA
TX,SP,06May21,TXSP_06May21,Anostraca,Streptocephalidae,Streptocephalus,Streptocephalus.texanus,191,F,NA
TX,SP,06May21,TXSP_06May21,Anostraca,Streptocephalidae,Streptocephalus,Streptocephalus.texanus,293,M,NA
TX,SP,06May21,TXSP_06May21,Notostraca,Triopsidae,Triops,Triops,360,M,NA
TX,SP,06May21,TXSP_06May21,Notostraca,Triopsidae,Triops,Triops,276,F,NA
TX,SP,06May21,TXSP_06May21,Trombidiformes,Trombidiformes,Trombidiformes,Trombidiformes,1,NA,Adult
TX,SP,06May21,TXSP_06May21,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,318,NA,NA
TX,SP,06May21,TXSP_06May21,Hemiptera,Notonectidae,Buenoa,Buenoa,3,NA,Adult
