Year	State	Wetland.Code	Latitude	Longitude	Fill.Date	Sample.Date	Site.Date.Abbr	Visit.Number	Weeks.since.fill	Temp	DO_mg.L	DO_percent	pH	Sal_ppt	C_us.cm	SPC_us.cm	Turb_NTU	Area_m2	Avg.Depth_m	Perimeter_m	Avg.degree.days.fill	Days.subfreeze.fill	Precip.total.fill_cm	Rain.fill_cm	Snow.fill_cm	Avg.High.Temp.fill_C	Avg.L.Temp.fill_C	Avg.Windspeed_km.h	Avg.Windgust_km.h	Avg.degree.day.YP	Precip.total.YP_cm	Rain.YP_cm	Snow.YP_cm	Avg.High.Temp.YP_C	Avg.L.Temp.YP_C	Days.subfreeze.YP	PEM_area.km2	PEM_count	PFO.SS_area.km2	PFO.SS_count	Pond_area.km2	Pond_count	Lake_area.km2	Lake_count	Other_area.km2	Other_count	Riverine_area.km2	Riverine_count	All_wetlands_area.km2	All_wetlands_count	Ephemeral_area	Ephemeral_count	Semiperm_area	Semiperm_count	Perm_area	Perm_count	Artificial_area	Artificial_count	Area_prop_eph	Area_prop_semi	Area_prop_perm	emergent_perc	submerge_perc	total_cover
21	TX	CB	27.450227	-97.293961	30Apr21	07May21	TXCB_07May21	1	1	32.5	7.96	109.4	8.7	0.27	642	558	2.5	3009.809	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	TX	SP	27.421845	-97.304727	13May21	07May21	TXSP_07May21	1	1	24.6	4.32	54.7	7.92	0.69	13.81	13.9	5.37	5525.173	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	TX	CB	27.450227	-97.293961	30Apr21	14May21	TXCB_14May21	2	2	21.3	4.13	46.2	8.16	0.45	833	896	1.32	1492.388	0.033	NA	26.40714286	0	103.1	103.1	0	26.6	22.69333	25.08	44.28	23.21479452	716.8	716.8	0	25.7418	20.56093	2	212.8173145	2675	0.018075892	5	0.856968203	168	12.42704352	19	0	0	0	0	226.1194021	2867	182.2590983	2603	43.78902956	249	0.062509361	12	0.008764925	3	0.806030339	0.193654455	0.000276444	NA	NA	NA
21	TX	SP	27.421845	-97.304727	13May21	14May21	TXSP_14May21	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	TX	SP	27.421845	-97.304727	13May21	21May21	TXSP_21May21	3	0.42	25.4	4.49	55.1	8.31	0.32	668	663	2.41	30281.327	0.278	2560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	TX	CB	27.450227	-97.293961	30Apr21	21May21	TXCB_21May21	3	3	25.3	3.27	40.4	8.05	0.18	386	387.4	1.82	15771.206	0.438	1080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	TX	CB	27.450227	-97.293961	30Apr21	27May21	TXCB_27May21	4	2	26.3	1.56	19.8	8.04	0.22	474.4	464.2	0.66	11674.408	0.366	NA	26.71071429	0	127.2	127.2	0	26.82	23.04	26.72667	46.36667	23.1909589	756.7	756.7	0	25.70437	20.55082	2	212.8173145	2675	0.018075892	5	0.856968203	168	12.42704352	19	0	0	0	0	226.1194021	2867	182.2590983	2603	43.78902956	249	0.062509361	12	0.008764925	3	0.806030339	0.193654455	0.000276444	33.6	24.6	58.2
21	TX	SP	27.421845	-97.304727	13May21	27May21	TXSP_27May21	4	2	26.7	5.03	64.1	8.22	0.4	845	818	2.19	15930.938	0.248	NA	26.71071429	0	127.2	127.2	0	26.82	23.04	26.72667	46.36667	23.1909589	756.7	756.7	0	25.70437	20.55082	2	99.35450421	2664	0.014231008	4	1.232724953	194	8.039314237	8	0	0	0	0	108.6407744	2870	89.85381993	2672	17.13723502	181	1.640954533	14	0.008764925	3	0.827072712	0.157742202	0.015104408	28.8	3	31.8
21	TX	CB2	27.449505	-97.294449	13May21	27May21	TXCB2_27May21	1	2	27.4	6.47	82.1	8.33	0.19	423.5	405.2	2.21	1116.342	0.214	NA	26.71071429	0	127.2	127.2	0	26.82	23.04	26.72667	46.36667	23.1909589	756.7	756.7	0	25.70437	20.55082	2	187.7764592	2670	0.018075892	5	0.859691251	167	12.28319673	17	0	0	0	0	200.937423	2859	156.0519917	2597	44.8206011	248	0.056065314	11	0.008764925	3	0.776619852	0.223057509	0.000279019	35.6	1.6	37.2
21	TX	NDP	27.443448	-97.29963	13May21	27May21	TXNDP_27May21	1	2	28.4	1.66	21.2	7.65	0.06	137.6	129.2	6	1195.641	0.09	NA	26.71071429	0	127.2	127.2	0	26.82	23.04	26.72667	46.36667	23.1909589	756.7	756.7	0	25.70437	20.55082	2	226.7771944	2742	0.079665645	6	0.883927722	168	12.79295796	11	0	0	0	0	240.5337457	2927	192.6996366	2671	46.71495213	242	1.11039204	11	0.008764925	3	0.801133479	0.194213714	0.004616367	98.8	15.2	114
